geneName,type
TACC1,E5-TE
SH2D4A,E5-TE
SH3TC1,E5-TE
WWC1,E5-TE
STARD10,E5-TE
ALAD,E5-TE
RAB11FIP1,E5-TE
RGMA,E5-TE
AMOTL2,E5-TE
PHOSPHO1,E5-TE
BAIAP2L1,E5-TE
KIAA1161,E5-TE
SLC46A1,E5-TE
SMAGP,E5-TE
TLE1,E5-TE
NUAK2,E5-TE
AGPAT9,E5-TE
RFK,E5-TE
CDK6,E5-TE
ALPPL2,E5-TE
ATP6V0D2,E5-TE
PTPN14,E5-TE
OLR1,E5-TE
SEMA6D,E5-TE
AHNAK,E5-TE
COLEC12,E5-TE
ZNF703,E5-TE
OAT,E5-TE
IQGAP2,E5-TE
LATS2,E5-TE
CALD1,E5-TE
POMC,E5-TE
S100A10,E5-TE
SORBS1,E5-TE
PDCL3,E5-TE
UGCG,E5-TE
EFHD1,E5-TE
LRIG3,E5-TE
GRHL3,E5-TE
PRDM14,E6-EPI
DPPA5,E6-EPI
GDF3,E6-EPI
ESRG,E6-EPI
KLF17,E6-EPI
IFITM1,E6-EPI
NODAL,E6-EPI
UNC5B,E6-EPI
SOX2,E6-EPI
CBFA2T2,E6-EPI
MAN1C1,E6-EPI
DND1,E6-EPI
LRP4,E6-EPI
BCOR,E6-EPI
SLC16A9,E6-EPI
FGF4,E6-EPI
SUSD2,E6-EPI
UTF1,E6-EPI
ZSCAN10,E6-EPI
ETV4,E6-EPI
PIM2,E6-EPI
MAP4K1,E6-EPI
ACE,E6-EPI
LDLRAP1,E6-EPI
UPP1,E6-EPI
CHST2,E6-EPI
CXCL12,E6-EPI
CDHR1,E6-EPI
NRBP2,E6-EPI
FAM46B,E6-EPI
PBX3,E6-EPI
NGEF,E6-EPI
RASD1,E6-EPI
Sep-06,E6-EPI
FAM124A,E6-EPI
PSORS1C2,E6-EPI
SHPK,E6-EPI
CFLAR,E6-EPI
UBTD1,E6-EPI
ANKRD45,E6-EPI
RRAD,E6-EPI
TRIM56,E6-EPI
LAPTM4B,E6-EPI
PRUNE2,E6-EPI
GPRC5C,E6-EPI
HEY2,E6-EPI
POU5F1,E6-EPI
