geneName,type
TGFBR3,ALL-TE
CAST,ALL-TE
GATA3,ALL-TE
EFNA1,ALL-TE
OLFML1,ALL-TE
FOLR1,ALL-TE
ALPP,ALL-TE
C4BPB,ALL-TE
DNAJC6,ALL-TE
JDP2,ALL-TE
PDGFA,ALL-TE
CLDN10,ALL-TE
PALLD,ALL-TE
KRT18,ALL-TE
GM2A,ALL-TE
GYLTL1B,ALL-TE
TMPRSS2,ALL-TE
ANKRD6,ALL-TE
MYC,ALL-TE
PIP5K1B,ALL-TE
LRRFIP1,ALL-TE
SLC12A3,ALL-TE
CLDN4,ALL-TE
SLC7A2,ALL-TE
ADAM15,ALL-TE
GPRC5A,ALL-TE
TCF7L1,ALL-TE
CITED4,ALL-TE
HSPB11,ALL-TE
OSBPL6,ALL-TE
ARHGAP23,ALL-TE
NIM1K,ALL-TE
MYOF,ALL-TE
S100A16,ALL-TE
PLAC8,ALL-TE
GATA2,ALL-TE
ADK,ALL-TE
PDLIM1,ALL-TE
FAM101B,ALL-TE
KRT8,ALL-TE
RAB25,ALL-TE
TMEM171,ALL-TE
TAGLN2,ALL-TE
MYO6,ALL-TE
CYP26A1,ALL-TE
TMEM106C,ALL-TE
CD24,ALL-TE
ATP8B1,ALL-TE
TFRC,ALL-TE
TEAD1,ALL-TE
GAB2,ALL-TE
SLC19A3,ALL-TE
SH3GL3,ALL-TE
FHL2,ALL-TE
WNT7A,ALL-TE
VAMP8,ALL-TE
TET2,ALL-TE
SLC7A5,ALL-TE
FASN,ALL-TE
MYCT1,ALL-TE
PPME1,ALL-TE
PWWP2B,ALL-TE
ACTN1,ALL-TE
CLDN3,ALL-TE
GREB1L,ALL-TE
FBXL18,ALL-TE
GALNT10,ALL-TE
GLIPR2,ALL-TE
SUN3,ALL-TE
NPC2,ALL-TE
ANXA6,ALL-TE
TSPAN15,ALL-TE
ARHGEF26,ALL-TE
SYBU,ALL-TE
ELOVL6,ALL-TE
CD53,ALL-TE
LAD1,ALL-TE
MYLPF,ALL-TE
KLF4,Naive
KLF17,Naive
PRDM14,Naive
DNMT3L,Naive
SOX15,Naive
TFCP2L1,Naive
ZFP42,Naive
KLF5,Naive
TBX3,Naive
KLF2,Naive
ESRRB,Naive
NR0B1,Naive
UTF1,Naive
CRABP2,Mesoderm
PGK 1.00,Mesoderm
LDHA,Mesoderm
APLNR,Mesoderm
TPI1,Mesoderm
TMSB15A,Mesoderm
SKP1,Mesoderm
MIF,Mesoderm
FAM162A,Mesoderm
UBB,Mesoderm
STOM,Amnion
CTSV,Amnion
TMEM54,Amnion
SLC2A3,Amnion
ISL1,Amnion
KRT19,Amnion
TPM1,Amnion
RARRES2,Amnion
MSX2,Amnion
GABRP,Amnion
